               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.016964,            0.010147,                   0,             0.99908,                   1,               0.995,             0.87786,             0.01339,           0.0039461,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.017612,            0.010281,                   0,             0.99929,                   1,               0.995,              0.8776,            0.013504,           0.0039425,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.017441,            0.010562,                   0,             0.99937,                   1,               0.995,             0.88559,            0.013629,           0.0038772,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.015319,           0.0094211,                   0,             0.99938,                   1,               0.995,             0.88173,            0.013582,           0.0037763,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.017406,            0.010555,                   0,             0.99942,                   1,               0.995,             0.87384,            0.013402,           0.0038618,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.017062,            0.010325,                   0,             0.99936,                   1,               0.995,              0.8757,            0.013355,           0.0038223,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.01752,           0.0097189,                   0,             0.99935,                   1,               0.995,             0.88336,             0.01346,           0.0037819,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.016051,           0.0091114,                   0,             0.99935,                   1,               0.995,             0.87702,            0.013478,           0.0039098,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.01606,           0.0096126,                   0,             0.99939,                   1,               0.995,             0.87785,            0.013596,           0.0038959,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.01639,            0.010096,                   0,             0.99937,                   1,               0.995,             0.87984,            0.013498,           0.0038644,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.016388,           0.0094659,                   0,             0.99935,                   1,               0.995,             0.87922,            0.013614,           0.0038506,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.016896,            0.010409,                   0,             0.99935,                   1,               0.995,             0.87992,            0.013548,           0.0038265,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.017399,           0.0098862,                   0,             0.99936,                   1,               0.995,             0.87513,             0.01337,           0.0038505,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.015775,            0.009387,                   0,             0.99938,                   1,               0.995,             0.87706,            0.013596,           0.0038635,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.016651,            0.010022,                   0,             0.99936,                   1,               0.995,             0.88218,            0.013578,           0.0038815,                   0,            0.000298,            0.000298,            0.000298
